"model","scenario","ensemble","year","variable","value"
"ACCESS-CM2","ssp126","r1i1p1f1",1850,"global_tas",0.102620654881378
"ACCESS-CM2","ssp126","r1i1p1f1",1850,"sst",0.037354299019608
"ACCESS-CM2","ssp126","r1i1p1f1",1850,"land_tas",0.148940588235291
"ACCESS-CM2","ssp126","r1i1p1f1",1851,"global_tas",0.112111532363656
"ACCESS-CM2","ssp126","r1i1p1f1",1851,"sst",0.0574667156862746
"ACCESS-CM2","ssp126","r1i1p1f1",1851,"land_tas",0.0776405882352833
"ACCESS-CM2","ssp126","r1i1p1f1",1852,"global_tas",0.2696691706754
"ACCESS-CM2","ssp126","r1i1p1f1",1852,"sst",0.220775465686273
"ACCESS-CM2","ssp126","r1i1p1f1",1852,"land_tas",0.331680588235258
"ACCESS-CM2","ssp126","r1i1p1f1",1853,"global_tas",0.16607476237067
"ACCESS-CM2","ssp126","r1i1p1f1",1853,"sst",0.166109882352942
"ACCESS-CM2","ssp126","r1i1p1f1",1853,"land_tas",0.19167058823524
"ACCESS-CM2","ssp126","r1i1p1f1",1854,"global_tas",0.236285642056487
"ACCESS-CM2","ssp126","r1i1p1f1",1854,"sst",0.158864799019607
"ACCESS-CM2","ssp126","r1i1p1f1",1854,"land_tas",0.478290588235268
"ACCESS-CM2","ssp126","r1i1p1f1",1855,"global_tas",0.00736049762656421
"ACCESS-CM2","ssp126","r1i1p1f1",1855,"sst",-0.00259136764706003
"ACCESS-CM2","ssp126","r1i1p1f1",1855,"land_tas",0.00829058823524065
"ACCESS-CM2","ssp126","r1i1p1f1",1856,"global_tas",0.0363746799132514
"ACCESS-CM2","ssp126","r1i1p1f1",1856,"sst",0.0441768823529395
"ACCESS-CM2","ssp126","r1i1p1f1",1856,"land_tas",0.0504405882352899
"ACCESS-CM2","ssp126","r1i1p1f1",1857,"global_tas",0.0966039004744061
"ACCESS-CM2","ssp126","r1i1p1f1",1857,"sst",0.0843462156862743
"ACCESS-CM2","ssp126","r1i1p1f1",1857,"land_tas",0.166580588235263
"ACCESS-CM2","ssp126","r1i1p1f1",1858,"global_tas",0.0130444633165325
"ACCESS-CM2","ssp126","r1i1p1f1",1858,"sst",0.0311339656862729
"ACCESS-CM2","ssp126","r1i1p1f1",1858,"land_tas",0.0394805882352784
"ACCESS-CM2","ssp126","r1i1p1f1",1859,"global_tas",0.124415526981807
"ACCESS-CM2","ssp126","r1i1p1f1",1859,"sst",0.103274465686276
"ACCESS-CM2","ssp126","r1i1p1f1",1859,"land_tas",0.159290588235251
"ACCESS-CM2","ssp126","r1i1p1f1",1860,"global_tas",0.0916521340100189
"ACCESS-CM2","ssp126","r1i1p1f1",1860,"sst",0.0274187156862739
"ACCESS-CM2","ssp126","r1i1p1f1",1860,"land_tas",0.240800588235288
"ACCESS-CM2","ssp126","r1i1p1f1",1861,"global_tas",-0.0288388549693082
"ACCESS-CM2","ssp126","r1i1p1f1",1861,"sst",-0.0132194509803936
"ACCESS-CM2","ssp126","r1i1p1f1",1861,"land_tas",-0.0111194117647528
"ACCESS-CM2","ssp126","r1i1p1f1",1862,"global_tas",-0.0417196394130315
"ACCESS-CM2","ssp126","r1i1p1f1",1862,"sst",-0.047186700980394
"ACCESS-CM2","ssp126","r1i1p1f1",1862,"land_tas",-0.0741394117647474
"ACCESS-CM2","ssp126","r1i1p1f1",1863,"global_tas",-0.129607137079347
"ACCESS-CM2","ssp126","r1i1p1f1",1863,"sst",-0.083491950980392
"ACCESS-CM2","ssp126","r1i1p1f1",1863,"land_tas",-0.111739411764745
"ACCESS-CM2","ssp126","r1i1p1f1",1864,"global_tas",-0.0207236060999207
"ACCESS-CM2","ssp126","r1i1p1f1",1864,"sst",-0.047567034313726
"ACCESS-CM2","ssp126","r1i1p1f1",1864,"land_tas",0.12819058823527
"ACCESS-CM2","ssp126","r1i1p1f1",1865,"global_tas",-0.0861973141755925
"ACCESS-CM2","ssp126","r1i1p1f1",1865,"sst",-0.09704786764706
"ACCESS-CM2","ssp126","r1i1p1f1",1865,"land_tas",-0.00745941176472797
