"version","commit","scenario","variable","units","year","value"
"3.2.0","a61d64","ssp245","gmst","degC",1750,-0.0874079859595159
"3.2.0","a61d64","ssp245","gmst","degC",1751,-0.086766801064144
"3.2.0","a61d64","ssp245","gmst","degC",1752,-0.0857999568430418
"3.2.0","a61d64","ssp245","gmst","degC",1753,-0.085163982833489
"3.2.0","a61d64","ssp245","gmst","degC",1754,-0.085141498930176
"3.2.0","a61d64","ssp245","gmst","degC",1755,-0.0864554724599466
"3.2.0","a61d64","ssp245","gmst","degC",1756,-0.105024660565717
"3.2.0","a61d64","ssp245","gmst","degC",1757,-0.109256988334468
"3.2.0","a61d64","ssp245","gmst","degC",1758,-0.105220112592378
"3.2.0","a61d64","ssp245","gmst","degC",1759,-0.100334726224873
"3.2.0","a61d64","ssp245","gmst","degC",1760,-0.0967165927817958
"3.2.0","a61d64","ssp245","gmst","degC",1761,-0.0936201416540854
"3.2.0","a61d64","ssp245","gmst","degC",1762,-0.162904839467828
"3.2.0","a61d64","ssp245","gmst","degC",1763,-0.193356553598239
"3.2.0","a61d64","ssp245","gmst","degC",1764,-0.181026861620608
"3.2.0","a61d64","ssp245","gmst","degC",1765,-0.161731519659613
"3.2.0","a61d64","ssp245","gmst","degC",1766,-0.171482081772476
"3.2.0","a61d64","ssp245","gmst","degC",1767,-0.184501090611624
"3.2.0","a61d64","ssp245","gmst","degC",1768,-0.174527745917596
"3.2.0","a61d64","ssp245","gmst","degC",1769,-0.158402454169072
"3.2.0","a61d64","ssp245","gmst","degC",1770,-0.154857432985074
"3.2.0","a61d64","ssp245","gmst","degC",1771,-0.148131425761057
"3.2.0","a61d64","ssp245","gmst","degC",1772,-0.137710783869982
"3.2.0","a61d64","ssp245","gmst","degC",1773,-0.128309704565484
"3.2.0","a61d64","ssp245","gmst","degC",1774,-0.121767862994866
"3.2.0","a61d64","ssp245","gmst","degC",1775,-0.116004588327282
"3.2.0","a61d64","ssp245","gmst","degC",1776,-0.11113397580174
"3.2.0","a61d64","ssp245","gmst","degC",1777,-0.107478649839863
"3.2.0","a61d64","ssp245","gmst","degC",1778,-0.10471857391395
"3.2.0","a61d64","ssp245","gmst","degC",1779,-0.101984204507736
"3.2.0","a61d64","ssp245","gmst","degC",1780,-0.100237749050859
"3.2.0","a61d64","ssp245","gmst","degC",1781,-0.098207321392146
"3.2.0","a61d64","ssp245","gmst","degC",1782,-0.0963377210256335
"3.2.0","a61d64","ssp245","gmst","degC",1783,-0.236750368576138
"3.2.0","a61d64","ssp245","gmst","degC",1784,-0.491793441621999
"3.2.0","a61d64","ssp245","gmst","degC",1785,-0.509455412445178
"3.2.0","a61d64","ssp245","gmst","degC",1786,-0.450349299924981
"3.2.0","a61d64","ssp245","gmst","degC",1787,-0.382794251486742
"3.2.0","a61d64","ssp245","gmst","degC",1788,-0.325036576909604
"3.2.0","a61d64","ssp245","gmst","degC",1789,-0.280319998844265
"3.2.0","a61d64","ssp245","gmst","degC",1790,-0.247165948446897
"3.2.0","a61d64","ssp245","gmst","degC",1791,-0.221739663526352
"3.2.0","a61d64","ssp245","gmst","degC",1792,-0.202019719313161
"3.2.0","a61d64","ssp245","gmst","degC",1793,-0.186708721824182
"3.2.0","a61d64","ssp245","gmst","degC",1794,-0.175484127546304
"3.2.0","a61d64","ssp245","gmst","degC",1795,-0.165654602204848
"3.2.0","a61d64","ssp245","gmst","degC",1796,-0.167401895330636
"3.2.0","a61d64","ssp245","gmst","degC",1797,-0.176110202176533
"3.2.0","a61d64","ssp245","gmst","degC",1798,-0.173905854604496
"3.2.0","a61d64","ssp245","gmst","degC",1799,-0.164604835942563
"3.2.0","a61d64","ssp245","gmst","degC",1800,-0.155253678463249
"3.2.0","a61d64","ssp245","gmst","degC",1801,-0.146851437357816
"3.2.0","a61d64","ssp245","gmst","degC",1802,-0.140095866847964
"3.2.0","a61d64","ssp245","gmst","degC",1803,-0.134086222283848
"3.2.0","a61d64","ssp245","gmst","degC",1804,-0.128607598903041
"3.2.0","a61d64","ssp245","gmst","degC",1805,-0.124678993832798
"3.2.0","a61d64","ssp245","gmst","degC",1806,-0.120854764499787
"3.2.0","a61d64","ssp245","gmst","degC",1807,-0.117641199746638
"3.2.0","a61d64","ssp245","gmst","degC",1808,-0.115493494177812
"3.2.0","a61d64","ssp245","gmst","degC",1809,-0.394757214104379
"3.2.0","a61d64","ssp245","gmst","degC",1810,-0.523325817616697
"3.2.0","a61d64","ssp245","gmst","degC",1811,-0.482644214417215
"3.2.0","a61d64","ssp245","gmst","degC",1812,-0.406737960078077
"3.2.0","a61d64","ssp245","gmst","degC",1813,-0.341646772178329
"3.2.0","a61d64","ssp245","gmst","degC",1814,-0.293720852602351
"3.2.0","a61d64","ssp245","gmst","degC",1815,-0.536997258146578
"3.2.0","a61d64","ssp245","gmst","degC",1816,-0.801423326533473
"3.2.0","a61d64","ssp245","gmst","degC",1817,-0.769480720487494
"3.2.0","a61d64","ssp245","gmst","degC",1818,-0.652936250260826
"3.2.0","a61d64","ssp245","gmst","degC",1819,-0.544988749765445
"3.2.0","a61d64","ssp245","gmst","degC",1820,-0.462452817741752
"3.2.0","a61d64","ssp245","gmst","degC",1821,-0.409129003741721
"3.2.0","a61d64","ssp245","gmst","degC",1822,-0.370098662562527
"3.2.0","a61d64","ssp245","gmst","degC",1823,-0.366425184893744
"3.2.0","a61d64","ssp245","gmst","degC",1824,-0.343411804147479
"3.2.0","a61d64","ssp245","gmst","degC",1825,-0.313249764466381
"3.2.0","a61d64","ssp245","gmst","degC",1826,-0.285369034285324
"3.2.0","a61d64","ssp245","gmst","degC",1827,-0.262487422112719
"3.2.0","a61d64","ssp245","gmst","degC",1828,-0.244647016959444
"3.2.0","a61d64","ssp245","gmst","degC",1829,-0.229330631382046
"3.2.0","a61d64","ssp245","gmst","degC",1830,-0.216509236159869
"3.2.0","a61d64","ssp245","gmst","degC",1831,-0.397477739852925
"3.2.0","a61d64","ssp245","gmst","degC",1832,-0.474297228807737
"3.2.0","a61d64","ssp245","gmst","degC",1833,-0.438907248430529
"3.2.0","a61d64","ssp245","gmst","degC",1834,-0.381952034718572
"3.2.0","a61d64","ssp245","gmst","degC",1835,-0.473248994360994
"3.2.0","a61d64","ssp245","gmst","degC",1836,-0.49875018114281
"3.2.0","a61d64","ssp245","gmst","degC",1837,-0.450373620085234
"3.2.0","a61d64","ssp245","gmst","degC",1838,-0.391839479318852
"3.2.0","a61d64","ssp245","gmst","degC",1839,-0.342793096120007
"3.2.0","a61d64","ssp245","gmst","degC",1840,-0.305060271653262
"3.2.0","a61d64","ssp245","gmst","degC",1841,-0.275991304171716
"3.2.0","a61d64","ssp245","gmst","degC",1842,-0.25297296459657
"3.2.0","a61d64","ssp245","gmst","degC",1843,-0.233757056609957
"3.2.0","a61d64","ssp245","gmst","degC",1844,-0.217588040991146
"3.2.0","a61d64","ssp245","gmst","degC",1845,-0.204636484719264
