"year","variable","value","version"
1745,"CH4N",223.2841597,"3.5.0"
1745,"N2O_natural_emissions",9.904157673,"3.5.0"
1746,"CH4N",218.5439114,"3.5.0"
1746,"N2O_natural_emissions",9.496370793,"3.5.0"
1747,"CH4N",223.2307996,"3.5.0"
1747,"N2O_natural_emissions",9.982529779,"3.5.0"
1748,"CH4N",224.0223599,"3.5.0"
1748,"N2O_natural_emissions",9.973572747,"3.5.0"
1749,"CH4N",225.0712758,"3.5.0"
1749,"N2O_natural_emissions",9.978918184,"3.5.0"
1750,"CH4N",224.3734775,"3.5.0"
1750,"N2O_natural_emissions",10.05637215,"3.5.0"
1751,"CH4N",224.7588953,"3.5.0"
1751,"N2O_natural_emissions",10.04215546,"3.5.0"
1752,"CH4N",226.7553906,"3.5.0"
1752,"N2O_natural_emissions",10.06138643,"3.5.0"
1753,"CH4N",225.7345705,"3.5.0"
1753,"N2O_natural_emissions",10.12397451,"3.5.0"
1754,"CH4N",224.7827012,"3.5.0"
1754,"N2O_natural_emissions",10.11018399,"3.5.0"
1755,"CH4N",225.0024676,"3.5.0"
1755,"N2O_natural_emissions",10.07235624,"3.5.0"
1756,"CH4N",225.6459979,"3.5.0"
1756,"N2O_natural_emissions",10.03899946,"3.5.0"
1757,"CH4N",224.3907996,"3.5.0"
1757,"N2O_natural_emissions",9.986079408,"3.5.0"
1758,"CH4N",224.2919445,"3.5.0"
1758,"N2O_natural_emissions",10.06231962,"3.5.0"
1759,"CH4N",222.8725329,"3.5.0"
1759,"N2O_natural_emissions",10.07680682,"3.5.0"
1760,"CH4N",220.9827244,"3.5.0"
1760,"N2O_natural_emissions",10.03857843,"3.5.0"
1761,"CH4N",223.4157419,"3.5.0"
1761,"N2O_natural_emissions",10.04317314,"3.5.0"
1762,"CH4N",224.2369398,"3.5.0"
1762,"N2O_natural_emissions",10.03820002,"3.5.0"
1763,"CH4N",225.2456315,"3.5.0"
1763,"N2O_natural_emissions",10.15322127,"3.5.0"
1764,"CH4N",226.2724641,"3.5.0"
1764,"N2O_natural_emissions",10.08662639,"3.5.0"
1765,"CH4N",225.2272172,"3.5.0"
1765,"N2O_natural_emissions",10.05794929,"3.5.0"
1766,"CH4N",225.6062203,"3.5.0"
1766,"N2O_natural_emissions",10.00023318,"3.5.0"
1767,"CH4N",225.7896103,"3.5.0"
1767,"N2O_natural_emissions",10.06677658,"3.5.0"
1768,"CH4N",223.8138847,"3.5.0"
1768,"N2O_natural_emissions",10.00423859,"3.5.0"
1769,"CH4N",224.3589445,"3.5.0"
1769,"N2O_natural_emissions",10.00362809,"3.5.0"
1770,"CH4N",224.4357072,"3.5.0"
1770,"N2O_natural_emissions",10.03172619,"3.5.0"
1771,"CH4N",225.0753071,"3.5.0"
1771,"N2O_natural_emissions",9.988077147,"3.5.0"
1772,"CH4N",226.9769716,"3.5.0"
1772,"N2O_natural_emissions",9.987207247,"3.5.0"
1773,"CH4N",225.558964,"3.5.0"
1773,"N2O_natural_emissions",9.97675092,"3.5.0"
1774,"CH4N",223.3698558,"3.5.0"
1774,"N2O_natural_emissions",9.985341346,"3.5.0"
1775,"CH4N",224.4686289,"3.5.0"
1775,"N2O_natural_emissions",9.965230176,"3.5.0"
1776,"CH4N",225.2487839,"3.5.0"
1776,"N2O_natural_emissions",9.968922858,"3.5.0"
1777,"CH4N",224.8483133,"3.5.0"
1777,"N2O_natural_emissions",9.953409164,"3.5.0"
1778,"CH4N",222.7310473,"3.5.0"
1778,"N2O_natural_emissions",9.952140448,"3.5.0"
1779,"CH4N",223.2438394,"3.5.0"
1779,"N2O_natural_emissions",9.946066604,"3.5.0"
1780,"CH4N",223.0263869,"3.5.0"
1780,"N2O_natural_emissions",9.939909209,"3.5.0"
1781,"CH4N",223.8688561,"3.5.0"
1781,"N2O_natural_emissions",9.928846419,"3.5.0"
1782,"CH4N",223.8520641,"3.5.0"
1782,"N2O_natural_emissions",9.922530827,"3.5.0"
1783,"CH4N",223.5065898,"3.5.0"
1783,"N2O_natural_emissions",9.906523631,"3.5.0"
1784,"CH4N",223.8884365,"3.5.0"
1784,"N2O_natural_emissions",9.914365411,"3.5.0"
1785,"CH4N",223.1254997,"3.5.0"
1785,"N2O_natural_emissions",9.907793622,"3.5.0"
1786,"CH4N",223.3093215,"3.5.0"
1786,"N2O_natural_emissions",9.91563659,"3.5.0"
1787,"CH4N",222.3292796,"3.5.0"
1787,"N2O_natural_emissions",9.889826978,"3.5.0"
1788,"CH4N",222.3613142,"3.5.0"
1788,"N2O_natural_emissions",9.873467873,"3.5.0"
1789,"CH4N",222.7892771,"3.5.0"
1789,"N2O_natural_emissions",9.880942923,"3.5.0"
1790,"CH4N",222.7418745,"3.5.0"
1790,"N2O_natural_emissions",9.86921535,"3.5.0"
1791,"CH4N",223.3860799,"3.5.0"
1791,"N2O_natural_emissions",9.857359177,"3.5.0"
1792,"CH4N",223.6877333,"3.5.0"
1792,"N2O_natural_emissions",9.869445068,"3.5.0"
1793,"CH4N",223.0930552,"3.5.0"
1793,"N2O_natural_emissions",9.795202215,"3.5.0"
1794,"CH4N",222.4330084,"3.5.0"
1794,"N2O_natural_emissions",9.81150596,"3.5.0"
1795,"CH4N",222.8464797,"3.5.0"
1795,"N2O_natural_emissions",9.779896593,"3.5.0"
1796,"CH4N",223.3584164,"3.5.0"
1796,"N2O_natural_emissions",9.781667078,"3.5.0"
1797,"CH4N",223.0732519,"3.5.0"
1797,"N2O_natural_emissions",9.788204634,"3.5.0"
1798,"CH4N",223.1838428,"3.5.0"
1798,"N2O_natural_emissions",9.770772303,"3.5.0"
1799,"CH4N",223.1205895,"3.5.0"
1799,"N2O_natural_emissions",9.781963398,"3.5.0"
1800,"CH4N",222.7815906,"3.5.0"
1800,"N2O_natural_emissions",9.735676593,"3.5.0"
1801,"CH4N",223.0763666,"3.5.0"
1801,"N2O_natural_emissions",9.770552382,"3.5.0"
1802,"CH4N",223.2427321,"3.5.0"
1802,"N2O_natural_emissions",9.796089058,"3.5.0"
1803,"CH4N",223.8621751,"3.5.0"
1803,"N2O_natural_emissions",9.749807905,"3.5.0"
1804,"CH4N",224.1944871,"3.5.0"
1804,"N2O_natural_emissions",9.741521278,"3.5.0"
1805,"CH4N",223.9081258,"3.5.0"
1805,"N2O_natural_emissions",9.733156654,"3.5.0"
1806,"CH4N",224.0534145,"3.5.0"
1806,"N2O_natural_emissions",9.734330899,"3.5.0"
1807,"CH4N",224.1633351,"3.5.0"
1807,"N2O_natural_emissions",9.730606816,"3.5.0"
1808,"CH4N",223.5451847,"3.5.0"
1808,"N2O_natural_emissions",9.736518293,"3.5.0"
1809,"CH4N",224.1626395,"3.5.0"
1809,"N2O_natural_emissions",9.679999297,"3.5.0"
1810,"CH4N",224.5616847,"3.5.0"
