"year","value","variable","units","source","lower","upper","unc"
1745,276.9859975,"CO2_concentration","ppmv CO2","obs",NA,NA,NA
1746,277.0139999,"CO2_concentration","ppmv CO2","obs",NA,NA,NA
1747,277.0439987,"CO2_concentration","ppmv CO2","obs",NA,NA,NA
1748,277.0799993,"CO2_concentration","ppmv CO2","obs",NA,NA,NA
1749,277.1090012,"CO2_concentration","ppmv CO2","obs",NA,NA,NA
1750,277.1470032,"CO2_concentration","ppmv CO2","obs",NA,NA,NA
1751,277.188001,"CO2_concentration","ppmv CO2","obs",NA,NA,NA
1752,277.2290014,"CO2_concentration","ppmv CO2","obs",NA,NA,NA
1753,277.2630005,"CO2_concentration","ppmv CO2","obs",NA,NA,NA
1754,277.3040034,"CO2_concentration","ppmv CO2","obs",NA,NA,NA
1755,277.351003,"CO2_concentration","ppmv CO2","obs",NA,NA,NA
1756,277.3889999,"CO2_concentration","ppmv CO2","obs",NA,NA,NA
1757,277.4419988,"CO2_concentration","ppmv CO2","obs",NA,NA,NA
1758,277.489001,"CO2_concentration","ppmv CO2","obs",NA,NA,NA
1759,277.5399984,"CO2_concentration","ppmv CO2","obs",NA,NA,NA
1760,277.6050034,"CO2_concentration","ppmv CO2","obs",NA,NA,NA
1761,277.6639989,"CO2_concentration","ppmv CO2","obs",NA,NA,NA
1762,277.7320023,"CO2_concentration","ppmv CO2","obs",NA,NA,NA
1763,277.7959976,"CO2_concentration","ppmv CO2","obs",NA,NA,NA
1764,277.8590037,"CO2_concentration","ppmv CO2","obs",NA,NA,NA
1765,277.9129995,"CO2_concentration","ppmv CO2","obs",NA,NA,NA
1766,277.9580002,"CO2_concentration","ppmv CO2","obs",NA,NA,NA
1767,278.0169983,"CO2_concentration","ppmv CO2","obs",NA,NA,NA
1768,278.0779953,"CO2_concentration","ppmv CO2","obs",NA,NA,NA
1769,278.1350047,"CO2_concentration","ppmv CO2","obs",NA,NA,NA
1770,278.1939977,"CO2_concentration","ppmv CO2","obs",NA,NA,NA
1771,278.2700017,"CO2_concentration","ppmv CO2","obs",NA,NA,NA
1772,278.3339996,"CO2_concentration","ppmv CO2","obs",NA,NA,NA
1773,278.4119949,"CO2_concentration","ppmv CO2","obs",NA,NA,NA
1774,278.4909999,"CO2_concentration","ppmv CO2","obs",NA,NA,NA
1775,278.5860036,"CO2_concentration","ppmv CO2","obs",NA,NA,NA
1776,278.6829987,"CO2_concentration","ppmv CO2","obs",NA,NA,NA
